employee_id,event_id,status,date
E0028,EV_SPEAK,skipped,2026-03-10
E0028,EV_SPEAK,skipped,2026-05-11
E0028,EV_SPEAK,refused,2026-07-12
E0028,EV_PYTHON,completed,2026-08-01
E0028,EV_SYSTEM,completed,2025-11-15
E0028,EV_NETWORKING,completed,2025-04-20
E0028,EV_DOCKER,completed,2025-09-10
E0001,EV_PYTHON,completed,2024-10-12
E0001,EV_SYSTEM,completed,2025-01-18
E0001,EV_SPEAK,completed,2025-06-22
E0001,EV_LEADERSHIP,completed,2026-02-14
E0002,EV_MANAGEMENT,skipped,2025-03-11
E0002,EV_MANAGEMENT,refused,2025-05-20
E0002,EV_MANAGEMENT,skipped,2025-08-15
E0002,EV_PYTHON,completed,2025-10-01
E0002,EV_SYSTEM,completed,2026-01-10
E0003,EV_GO,completed,2024-11-05
E0003,EV_DOCKER,completed,2025-02-12
E0003,EV_KUBERNETES,completed,2025-07-19
E0003,EV_SYSTEM,completed,2026-04-03
E0004,EV_SPEAK,refused,2025-04-10
E0004,EV_SPEAK,skipped,2025-06-12
E0004,EV_SPEAK,skipped,2025-09-01
E0004,EV_NETWORKING,completed,2026-01-15
E0005,EV_REACT,completed,2024-12-01
E0005,EV_TYPESCRIPT,completed,2025-03-15
E0005,EV_NEXTJS,completed,2025-08-20
E0005,EV_TAILWIND,completed,2026-02-10
E0006,EV_SYSTEM,completed,2025-01-11
E0006,EV_DATABASE,completed,2025-05-04
E0006,EV_POSTGRES,completed,2025-09-18
E0006,EV_REDIS,completed,2026-03-22
E0007,EV_LEADERSHIP,skipped,2025-02-10
E0007,EV_LEADERSHIP,skipped,2025-04-15
E0007,EV_LEADERSHIP,refused,2025-07-01
E0007,EV_GO,completed,2025-11-20
E0008,EV_PYTHON,completed,2024-10-01
E0008,EV_FASTAPI,completed,2025-01-15
E0008,EV_ML_BASE,completed,2025-06-10
E0008,EV_PANDAS,completed,2025-12-05
E0009,EV_SPEAK,completed,2025-02-18
E0009,EV_PRESENTATION,completed,2025-05-22
E0009,EV_NEGOTIATION,completed,2025-10-30
E0009,EV_LEADERSHIP,completed,2026-03-01
E0010,EV_DOCKER,skipped,2025-03-01
E0010,EV_DOCKER,refused,2025-05-10
E0010,EV_SYSTEM,completed,2025-08-14
E0010,EV_PYTHON,completed,2026-01-20
E0011,EV_JAVA,completed,2024-11-12
E0011,EV_SPRING,completed,2025-03-04
E0011,EV_MICROSERVICES,completed,2025-07-22
E0011,EV_SYSTEM,completed,2026-02-18
E0012,EV_MANAGEMENT,skipped,2025-01-20
E0012,EV_MANAGEMENT,skipped,2025-04-11
E0012,EV_MANAGEMENT,skipped,2025-06-30
E0012,EV_REACT,completed,2025-09-15
E0013,EV_SECURITY,completed,2024-12-10
E0013,EV_OAUTH,completed,2025-04-05
E0013,EV_NETWORKING,completed,2025-08-12
E0013,EV_LINUX,completed,2026-01-08
E0014,EV_SPEAK,refused,2025-02-14
E0014,EV_SPEAK,skipped,2025-05-01
E0014,EV_SPEAK,refused,2025-08-10
E0014,EV_DATABASE,completed,2025-11-11
